,Month,Coal Production (Thousand Short Tons),Coal Net Imports (Thousand Short Tons),Coal Stock Change (Thousand Short Tons),Coal Consumption (Thousand Short Tons),Wood Energy Production (Trillion Btu),Biofuels Production (Trillion Btu),Total Biomass Energy Production (Trillion Btu),Total Renewable Energy Production (Trillion Btu),Hydroelectric Power Consumption (Trillion Btu),Geothermal Energy Consumption (Trillion Btu),Solar Energy Consumption (Trillion Btu),Wind Energy Consumption (Trillion Btu),Wood Energy Consumption (Trillion Btu),Waste Energy Consumption (Trillion Btu),Biofuels Consumption (Trillion Btu),Total Biomass Energy Consumption (Trillion Btu),Total Renewable Energy Consumption (Trillion Btu),Total Petroleum Field Production (Thousand Barrels per Day),Petroleum Imports (Thousand Barrels per Day),Petroleum Exports (Thousand Barrels per Day),Petroleum Stock Change (Thousand Barrels per Day),Petroleum Products Supplied (Thousand Barrels per Day),Natural Gas Marketed Production (Wet) (Billion Cubic Feet),Natural Gas Imports (Billion Cubic Feet),Natural Gas Exports (Billion Cubic Feet),Natural Gas Net Storage Withdrawals (Billion Cubic Feet),Natural Gas Consumption (Billion Cubic Feet)
84,1980-01-01,69594.0,-4339.822,-973.956,63518.541,209.613,0.0,209.829,478.943,265.618,3.495,0.0,0.0,209.613,0.216,0.0,209.829,478.943,10323.806,8598.032,549.71,324.419,18851.484,1821.0,118.006,6.444,416.0,2237.743
85,1980-02-01,65546.0,-3847.278,-1080.77,59678.382,196.117,0.0,196.31,424.298,224.631,3.357,0.0,0.0,196.117,0.193,0.0,196.31,424.298,10360.448,7944.69,558.276,-270.655,18817.207,1709.0,108.192,4.857,440.0,2146.771
86,1980-03-01,70953.0,-5540.208,1403.515,58851.915,209.598,0.0,209.727,469.134,255.676,3.731,0.0,0.0,209.598,0.129,0.0,209.727,469.134,10266.194,7452.387,572.903,145.871,17376.903,1830.0,108.648,4.799,231.0,2053.945
87,1980-04-01,69658.0,-7499.259,8931.614,52635.272,202.768,0.0,202.894,477.356,270.552,3.909,0.0,0.0,202.768,0.127,0.0,202.894,477.356,10314.833,7105.9,433.733,640.967,16784.467,1670.0,77.257,3.245,-104.0,1534.606
88,1980-05-01,71043.0,-8389.462,8767.204,52833.635,209.394,0.0,209.548,517.456,303.305,4.603,0.0,0.0,209.394,0.154,0.0,209.548,517.456,10250.258,6578.71,591.258,636.871,16237.742,1695.0,70.207,3.144,-297.0,1356.886
89,1980-06-01,71338.0,-8795.102,5592.216,56097.609,202.609,0.0,202.723,497.768,290.604,4.441,0.0,0.0,202.609,0.114,0.0,202.723,497.768,10115.333,6894.367,654.167,804.067,16187.0,1586.0,61.256,3.147,-287.0,1254.894
90,1980-07-01,61285.0,-8215.462,-11971.247,63122.139,209.449,0.0,209.554,471.331,257.106,4.67,0.0,0.0,209.449,0.106,0.0,209.554,471.331,10070.742,6257.194,530.645,467.677,16007.806,1616.0,60.6,2.585,-273.0,1295.339
91,1980-08-01,68399.0,-9103.868,2191.413,62751.874,209.544,0.0,209.675,429.358,214.693,4.991,0.0,0.0,209.544,0.131,0.0,209.675,429.358,9933.645,6191.903,318.516,746.903,15752.871,1576.0,59.966,2.598,-250.0,1282.343
92,1980-09-01,68822.0,-8361.967,3174.66,57306.317,202.79,0.0,202.905,401.712,194.301,4.506,0.0,0.0,202.79,0.115,0.0,202.905,401.712,10134.7,6239.1,556.833,-47.7,16598.4,1579.0,60.19,5.051,-235.0,1299.286
93,1980-10-01,72290.0,-9314.531,7521.233,55775.124,209.602,0.0,209.717,402.564,187.73,5.117,0.0,0.0,209.602,0.115,0.0,209.717,402.564,10047.613,6378.871,597.516,-564.226,16994.71,1648.0,74.355,4.546,-93.0,1522.266
